day,sl
"14,73,0,269,14,13,0,329,14,75,0,267,14,111,0,231,14,10,0,332,14,24,0,318,14,48,0,294,14,28,0,314,14,216,0,126,14,80,0,256,9,6,14,198,0,143,9,2,14,237,15,105,14,119,0,223,14,79,0,263,14,43,0,299,14,2,0,340,14,96,0,246,14,2,0,340,14,62,0,280,14,62,0,279,14,30,0,311,14,29,0,313,14,86,0,256,14,28,0,314,14,32,15,310,0,340,9,2,0,2387",3
"14,64,0,278,14,47,1,70,0,225,14,111,0,231,14,35,0,307,14,29,0,313,14,38,0,304,14,47,1,47,0,248,14,144,0,197,14,9,1,309,0,24,14,78,0,264,14,24,0,318,14,43,0,299,14,9,9,18,0,316,14,29,1,43,0,270,14,29,0,313,1,340,9,2,1,179,9,31,0,132,9,16,0,644,15,24,0,682,16,3751",1
"14,69,1,273,14,62,1,279,14,86,1,256,14,137,1,205,14,186,1,155,14,62,1,279,14,62,1,279,14,35,1,307,14,38,1,304,14,62,1,279,14,31,1,310,14,31,1,310,14,35,1,307,14,31,1,310,14,35,1,307,14,31,1,299,9,12,14,29,1,313,14,35,1,307,14,31,1,5084",2
"3,321,15,21,3,227,13,10,9,105,3,653,13,30,3,998,13,25,3,323,13,19,3,256,9,79,13,7,3,337,13,5,3,336,9,6,3,1352,9,13,3,332,9,9,3,1359,15,6,3,322,8,8,13,12,3,291,9,3,13,39,15,11,3,304,15,21,9,17,3,673,15,10,3,299,12,43,3,234,12,63,9,46,3,333,12,9,3,319,12,23,3,321,12,14,9,7,3,337,12,5,3,640,15,43",3
"14,26,9,9,12,307,14,8,12,330,9,4,14,121,12,221,14,66,12,276,14,31,12,310,14,18,12,324,14,4,12,338,14,95,12,247,14,186,12,155,14,63,12,279,14,186,12,155,14,310,12,31,14,86,12,256,14,57,12,285,14,43,12,299,9,0,14,11,12,331,14,120,12,222,14,35,12,290,9,18,14,86,12,256,14,39,12,303,14,31,12,310,14,70,12,272,14,872,12,146,9,6,14,708,12,316,14,16,12,326,14,20,12,322,14,18,12,324,14,15,12,667",2
"14,140,15,10,13,30,1,39,5,39,4,62,9,24,14,95,15,10,13,81,5,62,4,90,9,5,14,116,15,3,13,5,3,9,5,60,4,73,9,79,14,78,15,24,5,78,4,55,9,109,14,62,15,16,5,105,4,105,9,55,14,78,15,16,3,12,5,51,4,16,9,171,14,62,15,62,9,16,5,136,9,0,4,39,9,28,14,35,15,145,1,22,5,77,4,52,9,13,14,150,5,32,4,150,9,11,14,43,13,62,5,66,4,117,9,55,15,30,1,9,5,77,4,179,9,47,15,24,13,12,1,24,5,167,4,51,9,66,15,18,13,125,5,72,4,125,9,4,15,89,1,15,5,178,4,57,9,4,16,6137",4
"14,73,7,157,8,112,14,16,7,57,8,270,14,26,7,80,8,237,14,49,7,110,8,184,14,57,7,121,8,165,14,70,7,147,8,125,14,111,7,105,8,126,14,51,7,136,8,155,14,210,7,62,9,8,8,62,14,95,7,99,8,148,14,24,7,143,9,2,8,175,14,198,7,86,8,59,14,64,7,183,8,95,14,32,7,224,8,86,14,52,7,74,8,217,14,141,7,35,8,167,14,121,7,190,8,31,14,13,7,176,8,153,14,37,7,113,9,4,8,188,14,18,7,109,8,215,14,81,7,231,8,30,14,43,7,75,8,224,14,39,7,225,8,78,14,31,7,268,9,14,8,30,14,40,7,247,8,56,14,9,7,263,8,71,14,4,7,192,8,130,9,16,14,4,7,286,9,4,8,48,7,49,8,293,7,134,8,208,7,268,8,74,7,238,8,104,7,258,8,84",2
"14,155,2,186,14,1023,1,9,2,333,1,26,2,316,9,2,2,340,9,11,2,331,9,7,2,8517",2
"14,38,2,304,14,78,2,264,14,86,2,256,14,117,9,6,2,220,9,0,14,31,2,310,14,31,2,310,14,35,2,307,14,168,2,174,14,31,2,310,14,31,2,310,14,31,9,11,2,300,14,1298,2,67,14,55,2,287,14,21,2,321,14,83,9,3,2,251,15,5,14,12,9,15,2,316,14,69,2,273,14,1388,2,318,9,8,2,334,9,0,2,1705,16,341",2
"12,681,9,1,12,677,9,6,12,5796,9,0,12,1692,9,13,12,2387",2
"2,3410,16,7842",2
"14,27,5,31,2,284,14,47,2,293,9,2,14,3,5,20,2,304,15,4,9,12,14,72,15,51,2,180,9,40,14,127,15,40,2,132,9,44,14,102,15,45,9,3,2,166,9,27,14,41,15,31,2,229,9,41,14,3,15,73,2,260,9,7,14,210,5,132,14,62,5,279,14,24,5,318,14,155,5,186,14,86,5,256,14,76,5,266,14,96,5,246,14,2,5,335,9,5,14,29,5,313,14,199,15,81,2,62,14,35,5,307,14,62,15,81,2,170,9,29,14,51,5,291,14,35,5,307,14,29,5,313,14,17,15,68,5,10,8,12,2,204,4,8,9,25,14,41,15,68,2,205,9,29,15,195,2,137,9,10,15,97,2,101,9,144,15,63,2,191,9,88,15,48,2,155,9,140,15,46,2,239,9,57,5,1023",2
"1,12,3,229,6,76,9,26,1,38,3,249,9,2,6,29,9,29,3,337,9,5,3,332,15,5,3,1016,6,7,3,3057,9,13,3,664,9,14,15,5,3,1022,9,2,3,331,15,11,3,319,9,23,3,675,9,8,3,1323,6,42,3,1364",3
"14,205,5,137,14,128,5,214,14,107,5,229,9,6,14,93,9,12,5,16,9,221,14,171,5,171,14,62,9,37,5,101,9,142,14,29,5,313,14,29,5,313,14,38,5,304,14,62,5,279,14,31,5,310,14,31,9,210,5,86,9,16,14,35,5,307,14,62,9,28,5,252,14,66,9,24,5,117,9,12,15,24,9,101,14,57,5,253,9,32,14,35,5,307,14,24,5,318,14,4,5,338,14,8,5,326,9,8,14,54,9,4,5,269,9,16,14,35,9,30,5,5,9,273,14,35,5,307,14,31,5,310,9,0,14,57,5,114,9,201,5,299,9,13,5,2387",2
"3,1194,9,171,3,341,15,2387,9,887,15,478,9,1023,16,4433",2
